ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 01, 10833, NONE, NONE, NONE, SEM, MW, 8-9:15AM, OPEN, COB-140, Johnson D, Class instruction is: Face to Face - On Campus.
ENGR 498H, HONORS THESIS, 1-3 Units, 18, 7980, NONE, NONE, 180, SUP, TBA, NA, OPEN, EN2-300A, Staff, Class instruction is: Face to Face - On Campus.
ENGR 498H, HONORS THESIS, 1-3 Units, 19, 9469, NONE, NONE, 180, SUP, TBA, NA, OPEN, EN2-300A, Staff, Class instruction is: Face to Face - On Campus.
ENGR 498H, HONORS THESIS, 1-3 Units, 20, 9490, NONE, NONE, 180, SUP, TBA, NA, OPEN, EN2-300A, Staff, Class instruction is: Face to Face - On Campus.
ENGR 790, S TOPICS ENGINEERING, 1-4 Units, 01, 1365, NONE, NONE, 180 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Staff, epartment Consent Required Class instruction is: Asynch. Online-No Meet Times.
ENGR 795, ADV DIRECTED STUDIES, 4 Units, 01, 1366, NONE, NONE, 180 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Staff, epartment Consent Required Class instruction is: Asynch. Online-No Meet Times.
ENGR 797A, PREP FOR PH.D PRELIMINARY EXAM, 4-12 Units, 01, 2520, NONE, NONE, 180 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Janoyan K, epartment Consent Required Class instruction is: Asynch. Online-No Meet Times.
ENGR 797B, PREP FOR PH.D. QUALIFYING EXAM, 4-12 Units, 01, 2521, NONE, NONE, 180 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Janoyan K, epartment Consent Required Class instruction is: Asynch. Online-No Meet Times.
ENGR 797C, RESEARCH FOR PH.D DISSERTATION, 4-12 Units, 01, 3028, NONE, NONE, 180 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Janoyan K, epartment Consent Required Class instruction is: Asynch. Online-No Meet Times.
ENGR 798, DOCTORAL DISSERTATION, 1-6 Units, 01, 2283, NONE, NONE, 180 305, SUP, TBA, NA, OPEN, ONLINE-ONLY, Staff, epartment Consent Required Class instruction is: Asynch. Online-No Meet Times.
E T 101, INTRO ENGINEERING TECHNOLOGY, 1 Unit, 01, 9372, NONE, NONE, NONE, SEM, M, 10-10:50AM, OPEN, VEC-519, Jalali S, Class instruction is: Face to Face - On Campus.
E T 252, CIRCUIT ANALYSIS II, 2 Units, 01, 7775, NONE, NONE, NONE, SEM, MW, 8-8:50AM, OPEN, ECS-315, Staff, Class instruction is: Face to Face - On Campus.
E T 252L, CIRCUIT ANALYSIS II LABORATORY, 1 Unit, 01, 7776, NONE, NONE, NONE, LAB, MW, 9-10:15AM, OPEN, ECS-315, Staff, Class instruction is: Face to Face - On Campus.
E T 255, INTRO TO DIGITAL ELECTRONICS, 2 Units, 01, 7058, NONE, NONE, 310, SEM, Tu, 7-8:50PM, OPEN, VEC-325, Staff, Class instruction is: Face to Face - On Campus.
E T 255L, INTRO DIGITAL ELECTRONICS LAB, 1 Unit, 01, 7059, NONE, NONE, 310, LAB, Th, 7-9:45PM, OPEN, ECS-317, Staff, Class instruction is: Face to Face - On Campus.
E T 286, OBJECT ORIENTED PROGRAMMING, 2 Units, 01, 7639, NONE, NONE, NONE, SEM, M, 7-8:50PM, OPEN, ECS-314, Jalali S, Class instruction is: Face to Face - On Campus.
E T 286L, OBJECT ORIENTED PROGRAMNG LAB, 1 Unit, 01, 7640, NONE, NONE, NONE, LAB, W, 7-9:45PM, OPEN, ECS-315, Jalali S, Class instruction is: Face to Face - On Campus.
E T 312, STATISTICAL QUALITY CONTROL, 3 Units, 01, 7267, NONE, NONE, NONE, SEM, Tu, 4-6:45PM, OPEN, VEC-418, Staff, Class instruction is: Face to Face - On Campus.
E T 341, SOLID STATE ELECTRONICS II, 2 Units, 01, 7974, NONE, NONE, NONE, SEM, F, 5-6:50PM, OPEN, ET-113, Lopez W, Class instruction is: Face to Face - On Campus.
E T 341L, SOLID STATE ELECTRONICS II, 1 Unit, 01, 7975, NONE, NONE, NONE, LAB, F, 7-9:45PM, OPEN, ET-113, Lopez W, Class instruction is: Face to Face - On Campus.
E T 350, MOTORS & GENERATORS, 2 Units, 01, 2447, NONE, NONE, NONE, SEM, M, 5-6:50PM, OPEN, ET-113, Lopez W, Class instruction is: Face to Face - On Campus.
E T 350L, MOTORS & GENERATORS LABORATORY, 1 Unit, 01, 2448, NONE, NONE, NONE, LAB, M, 7-9:45PM, OPEN, ET-113, Lopez W, Class instruction is: Face to Face - On Campus.
E T 409B, SENIOR PROB-ELECTRONICS TECH, 1-3 Units, 01, 1861, NONE, NONE, NONE, SUP, TBA, NA, OPEN, ECS-610, Khoo I, epartment Consent Required Class instruction is: Face to Face - On Campus.
E T 409C, SENIOR PROB-MANUFACTURING TECH, 1-3 Units, 01, 1223, NONE, NONE, 7, SUP, TBA, NA, OPEN, ECS-610, Staff, epartment Consent Required Class instruction is: Face to Face - On Campus.
E T 409D, SENIOR PROB-QUALITY ASSURANCE, 1-3 Units, 01, 1224, NONE, NONE, 7, SUP, TBA, NA, OPEN, ECS-610, Staff, epartment Consent Required Class instruction is: Face to Face - On Campus.
E T 409E, SENIOR PROBLEMS COMPUTER TECH, 1-3 Units, 01, 2155, NONE, NONE, NONE, SUP, TBA, NA, OPEN, ECS-610, Khoo I, epartment Consent Required Class instruction is: Face to Face - On Campus.
E T 409F, ENVIRONMENTAL TECHNOLOGY, 1-3 Units, 02, 2860, NONE, NONE, NONE, SUP, TBA, NA, OPEN, ECS-610, Staff, epartment Consent Required Class instruction is: Face to Face - On Campus.
E T 444, TELECOMMUNCATIONS, 3 Units, 01, 8177, NONE, NONE, NONE, SEM, Tu, 7-9:45PM, OPEN, ECS-315, Lopez W, Class instruction is: Face to Face - On Campus.
E T 486, DATA STRUCTURES, 2 Units, 01, 10697, NONE, NONE, NONE, SEM, M, 5-6:50PM, OPEN, VEC-115, Staff, Class instruction is: Face to Face - On Campus.
E T 486L, DATA STRUCTURES LABORATORY, 1 Unit, 01, 10698, NONE, NONE, NONE, LAB, M, 7-9:45PM, OPEN, VEC-417, Staff, Class instruction is: Face to Face - On Campus.
E T 488, MICROCOMPUTER SYSTEMS, 2 Units, 01, 9009, NONE, NONE, NONE, SEM, Th, 5-6:50PM, OPEN, ECS-316, Staff, Class instruction is: Face to Face - On Campus.
E T 488L, MICROCOMPUTER SYSTEMS LAB, 1 Unit, 01, 9010, NONE, NONE, NONE, LAB, Th, 7-9:45PM, OPEN, ECS-316, Staff, Class instruction is: Face to Face - On Campus.
E T 491, EMBEDDED PROCESSORS SYSTEMS, 2 Units, 01, 8435, NONE, NONE, NONE, SEM, W, 5-6:50PM, OPEN, ET-113, Lopez W, Class instruction is: Face to Face - On Campus.
E T 491L, EMBEDDED PROCESSOR SYSTM LAB, 1 Unit, 02, 8436, NONE, NONE, NONE, LAB, W, 7-9:45PM, OPEN, ET-113, Lopez W, Class instruction is: Face to Face - On Campus.
E T 492, COMP CONTROLLD INDUSTRIAL SYST, 2 Units, 01, 10134, NONE, NONE, NONE, SEM, Tu, 5-6:50PM, OPEN, VEC-401, Staff, Class instruction is: Face to Face - On Campus.
E T 492L, COMP CONTROLLD INDUSTL SYS LAB, 1 Unit, 01, 10136, NONE, NONE, NONE, LAB, Tu, 7-9:45PM, OPEN, VEC-417, Staff, Class instruction is: Face to Face - On Campus.
E T 494, APPLIED SYSTEMS DEVLP PROJECT, 2 Units, 01, 10669, NONE, NONE, NONE, SEM, F, 5-6:50PM, OPEN, VEC-325, Khoo I, Class instruction is: Face to Face - On Campus.
E T 494L, APPL SYSTEMS DEVLP PROJECT LAB, 1 Unit, 01, 10670, NONE, NONE, NONE, LAB, F, 7-9:45PM, OPEN, VEC-325, Khoo I, Class instruction is: Face to Face - On Campus.
ENGL 100A, COMPOSITION I, 3 Units, 01, 4265, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, LA2-108, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100A, COMPOSITION I, 3 Units, 02, 5893, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, LA3-206, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100A, COMPOSITION I, 3 Units, 03, 6278, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, LA2-108, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100A, COMPOSITION I, 3 Units, 04, 6599, NONE, NONE, 310, SEM, MW, 2-3:15PM, OPEN, LA2-108, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100A, COMPOSITION I, 3 Units, 05, 10148, NONE, NONE, 310, SEM, MW, 11-12:15PM, OPEN, LA3-206, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100A, COMPOSITION I, 3 Units, 06, 10149, NONE, NONE, 310, SEM, MW, 8-9:15AM, OPEN, LA2-108, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 01, 1300, NONE, NONE, 310, SEM, MWF, 8-8:50AM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 02, 1301, NONE, NONE, 310, SEM, MWF, 9-9:50AM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 03, 2686, NONE, NONE, 310, SEM, MWF, 9-9:50AM, OPEN, LA2-100, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 04, 1304, NONE, NONE, 310, SEM, MWF, 9-9:50AM, OPEN, LA2-207, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 05, 1302, NONE, NONE, 310, SEM, MWF, 10-10:50AM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 06, 2687, NONE, NONE, 310, SEM, MWF, 11-11:50AM, OPEN, COB-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 07, 1303, NONE, NONE, 310, SEM, MWF, 11-11:50AM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 08, 1305, NONE, NONE, 310, SEM, MWF, 9-9:50AM, OPEN, LA1-310, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 09, 3005, NONE, NONE, 310, SEM, MWF, 8-8:50AM, OPEN, LA2-105, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 10, 1873, NONE, NONE, 306, SEM, MW, 8-9:15AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 11, 1306, NONE, RESERVED SEATS, 310, SEM, MW, 8-9:15AM, OPEN (RESERVED), ED2-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 12, 1307, NONE, NONE, 310, SEM, MWF, 11-11:50AM, OPEN, ED2-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 13, 1308, NONE, RESERVED SEATS, 310, SEM, MW, 8-9:15AM, OPEN (RESERVED), LA2-206, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 14, 1309, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, ED2-160B, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 15, 1310, NONE, NONE, 310, SEM, TuTh, 3:30-4:45PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 16, 1311, NONE, RESERVED SEATS, 310, SEM, MW, 8-9:15AM, OPEN (RESERVED), LA3-203, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 17, 1312, NONE, NONE, 310, SEM, MW, 3:30-4:45PM, OPEN, LA2-108, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 18, 1313, NONE, RESERVED SEATS, 310, SEM, MW, 2-3:15PM, OPEN (RESERVED), ED2-216, Covey A, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 19, 1314, NONE, NONE, 306, SEM, TuTh, 8-9:15AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 20, 1315, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, LA2-205, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 21, 1316, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, LA2-203, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 22, 9451, NONE, NONE, 310, SEM, MWF, 10-10:50AM, OPEN, LA1-310, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 23, 1317, NONE, NONE, 310, SEM, TuTh, 3:30-4:45PM, OPEN, ED2-160B, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 24, 1318, NONE, NONE, 310, SEM, TuTh, 12:30-1:45PM, OPEN, ED2-174, Wallace D, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 25, 1319, NONE, NONE, 310, SEM, TuTh, 9:30-10:45AM, OPEN, ED2-160B, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 26, 2559, NONE, NONE, 310, SEM, TuTh, 11-12:15PM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 27, 2560, NONE, NONE, 310, SEM, TuTh, 12:30-1:45PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 28, 3006, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, ED2-160B, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 29, 2908, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, HHS1-205, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 30, 3146, NONE, NONE, 310, SEM, TuTh, 12:30-1:45PM, OPEN, ED2-160B, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 31, 3147, NONE, RESERVED SEATS, 310, SEM, MW, 12:30-1:45PM, OPEN (RESERVED), LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 32, 3716, NONE, NONE, 310, SEM, TuTh, 9:30-10:45AM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 33, 3717, NONE, NONE, 306, SEM, TuTh, 12:30-1:45PM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 34, 3718, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, ED2-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 35, 3719, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 36, 3720, NONE, NONE, 310, SEM, TuTh, 2-3:15PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 37, 3725, NONE, NONE, 310, SEM, MW, 8-9:15AM, OPEN, LA2-205, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 38, 3726, NONE, NONE, 310, SEM, TuTh, 11-12:15PM, OPEN, COB-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 39, 3733, NONE, RESERVED SEATS, 310, SEM, TuTh, 8-9:15AM, OPEN (RESERVED), LA2-105, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 40, 3734, NONE, NONE, 306, SEM, MW, 9:30-10:45AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 41, 3735, NONE, NONE, 310, SEM, F, 10-12:45PM, OPEN, AS-243, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 42, 3736, NONE, NONE, 310, SEM, TuTh, 3:30-4:45PM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 43, 3737, NONE, NONE, 310, SEM, MW, 8-9:15AM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 44, 3738, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 45, 3739, NONE, NONE, 310, SEM, MW, 8-9:15AM, OPEN, LA2-208, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 46, 3740, NONE, NONE, 310, SEM, TuTh, 3:30-4:45PM, OPEN, LA2-108, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 47, 4440, NONE, NONE, 310, SEM, F, 8-10:45AM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 48, 4441, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, COB-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 49, 4442, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 50, 4443, NONE, RESERVED SEATS, 305, SEM, NA, NA, OPEN (RESERVED), ONLINE-ONLY, Staff, lass instruction is: Asynch. Online-No Meet Times. Contact Dept. for English Level Test Evaluation and Permit.
ENGL 100B, COMPOSITION II, 3 Units, 51, 4444, NONE, NONE, 310, SEM, F, 10-12:45PM, OPEN, LA2-100, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 52, 4445, NONE, RESERVED SEATS, 310, SEM, MW, 2-3:15PM, OPEN (RESERVED), PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 53, 5436, NONE, NONE, 306, SEM, TuTh, 9:30-10:45AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 54, 5586, NONE, NONE, 310, SEM, MW, 3:30-4:45PM, OPEN, LA2-208, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 55, 5623, NONE, RESERVED SEATS, 310, SEM, MW, 9:30-10:45AM, OPEN (RESERVED), LA2-205, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 56, 5632, NONE, RESERVED SEATS, 310, SEM, TuTh, 9:30-10:45AM, OPEN (RESERVED), LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 57, 6261, NONE, RESERVED SEATS, 306, SEM, MW, 12:30-1:45PM, OPEN (RESERVED), ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 58, 6611, NONE, RESERVED SEATS, 310, SEM, TuTh, 8-9:15AM, OPEN (RESERVED), LA2-207, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 59, 7033, NONE, NONE, 310, SEM, MW, 12:30-1:45PM, OPEN, LA3-206, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 60, 7076, NONE, NONE, 310, SEM, TuTh, 12:30-1:45PM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 61, 7435, NONE, NONE, 310, SEM, MWF, 10-10:50AM, OPEN, COB-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 62, 7454, NONE, NONE, 310, SEM, TuTh, 9:30-10:45AM, OPEN, COB-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 63, 7455, NONE, RESERVED SEATS, 310, SEM, TuTh, 8-9:15AM, OPEN (RESERVED), LA2-100, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 64, 7456, NONE, NONE, 310, SEM, TuTh, 8-9:15AM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 65, 7457, NONE, NONE, 306, SEM, MWF, 8-8:50AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 66, 7458, NONE, NONE, 306, SEM, MWF, 9-9:50AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 67, 7459, NONE, NONE, 306, SEM, MW, 11-12:15PM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 68, 7460, NONE, RESERVED SEATS, 306, SEM, MW, 2-3:15PM, OPEN (RESERVED), ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 69, 7461, NONE, NONE, 306, SEM, MW, 3:30-4:45PM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 70, 7874, NONE, NONE, 306, SEM, F, 9-11:45AM, OPEN, ONLINE-ONLY, Staff, Class instruction is: Synch. Online - Meet Times.
ENGL 100B, COMPOSITION II, 3 Units, 71, 7875, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, ED2-216, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 72, 7876, NONE, NONE, 310, SEM, MW, 9:30-10:45AM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 73, 8800, NONE, NONE, NONE, SEM, MWF, 11-11:50AM, OPEN, LA1-310, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 74, 8984, NONE, NONE, 310, SEM, MW, 5:30-6:45PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 75, 9042, NONE, NONE, 310, SEM, MW, 3:30-4:45PM, OPEN, HSCI-107, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 76, 9440, NONE, RESERVED SEATS, 310, SEM, TuTh, 2-3:15PM, OPEN (RESERVED), ED2-174, Wallace D, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 77, 9441, NONE, NONE, 310, SEM, MW, 12:30-1:45PM, OPEN, LA2-203, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 78, 9442, NONE, NONE, 310, SEM, MW, 3:30-4:45PM, OPEN, LA1-305, Staff, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 80, 10713, NONE, RESERVED SEATS, NONE, SEM, MW, 5-6:15PM, OPEN (RESERVED), LA2-204, Bass J, Class instruction is: Face to Face - On Campus.
ENGL 100B, COMPOSITION II, 3 Units, 99, 7855, NONE, NONE, NONE, SEM, NA, NA, OPEN, NA, Staff, lass instruction is: Face to Face - On Campus. This class section is used for Guided Registration as a placeholder until seats becomes available. Students should contact their Advisor for enrollment options.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 01, 2253, NONE, NONE, 1 310, SEM, MW, 12:30-1:45PM, OPEN, PSY-230, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 02, 2493, NONE, NONE, 1 310, SEM, MW, 2-3:15PM, OPEN, SPA-105, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 03, 3072, NONE, NONE, 1 310, SEM, MW, 8-9:15AM, OPEN, AS-243, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 04, 3148, NONE, NONE, 1 310, SEM, TuTh, 2-3:15PM, OPEN, LA2-105, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 05, 3204, NONE, NONE, 1 310, SEM, MW, 12:30-1:45PM, OPEN, SPA-208, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 06, 3205, NONE, NONE, 1 310, SEM, TuTh, 11-12:15PM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 07, 3206, NONE, NONE, 1 310, SEM, TuTh, 8-9:15AM, OPEN, AS-243, Staff, lass instruction is: Face to Face - On Campus. 3 reserved seat/s for SA@B students
ENGL 102, CRITICAL READING & WRITING, 3 Units, 08, 3207, NONE, NONE, 1 310, SEM, TuTh, 9:30-10:45AM, OPEN, HC-135, Staff, Class instruction is: Face to Face - On Campus.
ENGL 102, CRITICAL READING & WRITING, 3 Units, 09, 5338, NONE, NONE, 1 310, SEM, MW, 3:30-4:45PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 180, APPRECIATION OF LITERATURE, 3 Units, 01, 2792, NONE, NONE, 1 310, LEC, MW, 5-6:15PM, OPEN, LA2-202, Staff, lass instruction is: Face to Face - On Campus. 1 reserved seat/s for SA@B students
ENGL 180, APPRECIATION OF LITERATURE, 3 Units, 02, 3238, NONE, NONE, 1 310, LEC, TuTh, 11-12:15PM, OPEN, LA5-247, Staff, Class instruction is: Face to Face - On Campus.
ENGL 180, APPRECIATION OF LITERATURE, 3 Units, 03, 3369, NONE, NONE, 1 310, LEC, MW, 2-3:15PM, OPEN, LA2-105, Staff, Class instruction is: Face to Face - On Campus.
ENGL 204, CREATIVE WRIT CREATIVE NONFICT, 3 Units, 01, 2901, NONE, NONE, 310 1, SEM, MW, 11-12:15PM, OPEN, LA2-108, Staff, lass instruction is: Face to Face - On Campus. 1 reserved seat/s for SA@B students
ENGL 204, CREATIVE WRIT CREATIVE NONFICT, 3 Units, 02, 3008, NONE, NONE, 1 310, SEM, TuTh, 12:30-1:45PM, OPEN, HHS1-201, Staff, Class instruction is: Face to Face - On Campus.
ENGL 205, CREATIVE WRITING FICTION, 3 Units, 01, 1320, NONE, NONE, 1 310, SEM, MW, 2-3:15PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
ENGL 205, CREATIVE WRITING FICTION, 3 Units, 02, 1321, NONE, NONE, 1 310, SEM, MW, 9:30-10:45AM, OPEN, LA3-206, Staff, Class instruction is: Face to Face - On Campus.
ENGL 205, CREATIVE WRITING FICTION, 3 Units, 03, 1322, NONE, NONE, 1 310, SEM, TuTh, 11-12:15PM, OPEN, LA3-109, Staff, Class instruction is: Face to Face - On Campus.
